Title	Year	Summary	!	ENTERTANO-SCORE	WEIGHTED	Thomas 	Adam P	Ben D	Ben M	Hudson	Vas	Daniel ML	Mr. Lynchie	DK	Mango	Shaw	Shazbot	Manoj	Briony										
The Matrix		a nerd who can do karate or some bullshit		7.0	8.5	9	10	10	6	10.0		10	8.5	8	9			9											
!!! Jurassic Park !!!	¡Ay mama!¡¡¡¡¡¡¡¡¡¡	Hold onto your butts, "it's a unix system, i know this"... http://www.jurassicsystems.com/		7.0	8.5		10	10	9	9.5		8	9.5	9	7	9		9											
Monty Python and the Holy Grail		The knights who say NI!		7.1	8.5	10	9		10	6.0		10	9.5	8		9.5			10										
Fantastic Mr. Fox	2009	Wes Anderson brilliance (The real best Wes Anderson movie [no][[YES][well, no][The cuss it is])		5.5	7.7				9	10.0	10					7		8											
Brick		Film Noir movie set in a high school, amazing dialogue and complex plot	!	6.3	8.2		9		10	10.0																			
Terminator 2	1991	https://www.youtube.com/watch?v=4mTCgIHpQXE		6.0	8.0	9	10	9	7	9.5		8	8	8	8	8													
Aliens	1986	Game over man		6.1	8.0	9	9	9	7	8.5			9.5		9	9													
Office Space	1999	By the guy who created Silicon Valley - "PC load letter?? WTF is does that mean??!"		5.8	7.9	8	8	8	10		10			10		8		7	7										
The Wrong Man (Lucky Number Slevin)		Very cool comedy/action/mystery movie with super handsome leads	!	6.3	8.1				10																				
Mistaken For Strangers		Rock Doc / Feel good about the brother of a rock star going on tour with his older brother and idol	!	6.3	8.1		10																						
Les Miserables		Wolverine raises catwoman's daughter while being chased by The Gladiator	!	6.3	8.1							10						Cried!											
the fighter		skinny batman fights people with marky mark	!	6.3	8.1		10																						
Troll Hunter		Scando sci fi about trolls existing in the world	!	4.3	7.2		10		7																				
American Psycho		Have you seen my business card, the embossing is amazing	!	5.8	7.9		10		9																				
Monty Python - Life of Brian		he's not the messiah, he's a very naughty boy		6.4	8.2	9	9		8	7.5		9	9	9.5	7	9			10										
Blade Runner				6.0	8.0		8		10	8.0		10	9		9	8													
Her		some guys with big trousers exist in a world designed by apple		6.0	8.0	9		8	10	9.0	10		8																
Rear Window	1954	Hitchcock mystery.	!	6.2	8.1				10	9.5																			
Alien	1979			5.9	7.9	7	10	8	10	6.0		9	9		8	9													
Eternal Sunshine of the Spotless Mind				5.9	7.9		9		10	7.5	8	9			10														
Trainspotting	1996	Choose Life. Choose a Job..		5.8	7.9		10		8	8.5			8.5		10														
Hot Rod	2007	Cool beans		5.7	7.9	9		10	10	9.5				6															
Fight Club		skinny guys bashing each others faces		5.5	7.8	9	10	10	8	8.0			8.5	6	8	7													
The Departed		multi threaded Scorsese thriller	!	5.8	7.9		10	9																					
The Good, the Bad and the Ugly 	1966	Super cool camera work and cowboys (Oh, Clint Eastwood)	!	5.5	7.8		8		10	10.0			8																
Indiana Jones and the Temple of Doom	1984	Mystical stone and hearts getting ripped out. Kally maahh, kallly mahh!		5.4	7.7	8	8		9	10.0			9	8.5	7														
Kill Bill		Uma chops people up		5.4	7.7		10		9	8.5		10	7		7														
Shawshank Redemption 		The only man to crawl through a river of poo and come out clean on the other side		5.3	7.6	10	9	8	6	9.0			6.5		10														
Shaun of the Dead		Bromantic comedy set during the zombie apocolypse. Nick Frost + Simon Pegg		5.3	7.6	7.5	8	8	10	9.0			7.5			9													
District 9		Fackin Prowns		5.1	7.6	7.5	10		9	8.0			9	7	8														
Star Wars IV		star wars		5.6	7.8	7.5	8		8	8.0			8	9	10				9.5										
The Fountain		Artsy fartsy existential movie about a tree and a girl and Hugh Jackman	!	5.2	7.6			9	10					8															
PRIMER		because you're supposed to be confused every now and then	!	5.2	7.6		8	9	9.99																				
The Lego Movie		EVERYTHING IS AWESOME		5.0	7.5	9	9	10	7	8.5		8		6.5		7													
Lock Stock And Two Smoking Barrels				5.0	7.5	7.5	10		8	8.5			7		8	9													
Star Wars V		star wars on ice		5.5	7.8	7.5	7		8	8.0			8.5	9	10				10										
Inglourious Basterds			!	5.1	7.5		8	9	10				8																
Star Wars VI		star wars with carebears		5.4	7.7	7.5	8		8	8.5			7.5	9	9				10										
The wrestler		Mickey Rourke as a sad old wrestler	!	4.9	7.5		9		9																				
Taxi Driver		Vietnam vet Taxi driver goes mental. You talking to me?	!	4.9	7.5		9		9																				
Back to the future	1985	A Delorean turned time-machine!		4.7	7.4		8		7	10.0			9	8.5	7														
The Princess Bride		It's hilarious and not terrible like you might think		5.5	7.8		8	8	8	7.5	8	9	8.5			9			9										
True Lies	1994	One of Arnie's best		4.6	7.3		10	10	6	8.0			6.5	8.5	7	7													
Close Encounters of the 3rd Kind		♫♩♪♫♩♪		4.7	7.3		7		10	8.5			7	8	9	7													
Grand Budapest Hotel		best wes anderson movie	!	5.1	7.6		7		10	9.0						9													
Fargo		Hey it's cold dont cha know, "Go bears"	!	4.7	7.3		9		10			7			8														
Ghost Busters		Who you gonna call? "There is no Dana...only Zuul"		4.6	7.3	8	7	8	7	8.5			8	8		9													
Hot Fuzz		Bromantic police comedy set in a village where all is not what it seems. Nick Frost + Simon Pegg		4.5	7.2	8	7	9	9	8.0			7			8													
The Big Lebowski	1998	The "Dude"		4.5	7.3		8		9	9.0			7.5		8														
Control		About Ian Curtis the lead singer from joy devision	!	4.7	7.3		9																						
The Broken Circle Breakdown		Scando and such with lots of sad	!	4.7	7.3		9																						
Kaboom!		Hella gay movie about the end of the world, it's the queer donnie darko	!	4.7	7.3				9																				
Once		Irish dude, glen hansard is a busker, he meets a girl and such.  Amazing soundtrack and feel	!	4.7	7.3		9																						
Cuban Fury			!	4.7	7.3											9													
No Country For Old Men			!	5.8	7.9		9		10																				
